course_code,course_name,AU
BR3211,OPERATIONAL RISK & RESILIENCY*~,3.0
BS0004,INTRODUCTION TO DATA SCIENCE,3.0
BS1001,INTRODUCTORY BIOLOGY*~#,3.0
BS1008,BIOSTATISTICS*~,3.0
BS1012,FOUNDATIONS OF CHEMISTRY I,3.0
BS1016,PHYSIOLOGY*~,3.0
BS1022,LABORATORY FOR FOUNDATIONS OF CHEMISTRY I*~,1.0
BS1103,CHINESE MEDICINE FOUNDATIONAL THEORIES,3.0
BS1104,ANCIENT CHINESE LITERATURE STUDIES,2.0
BS2002,MICROBIOLOGY*~,3.0
BS2003,BIOCHEMISTRY II,3.0
BS2023,REGULATORY CONTROL OF HEALTHCARE PRODUCTS & MEDICAL DEVICES~,3.0
BS2024,EVOLUTION IN HEALTH & DISEASE*~,3.0
BS2028,INSTRUMENTATION FOR THE ANALYSIS OF BIOLOGICAL SYSTEMS,3.0
BS2029,INTRODUCTION TO LABORATORY MEDICINE~,3.0
BS2100,MOLECULAR & CELL BIOLOGY TECHNIQUES LEVEL 2~,3.0
BS2101,ANATOMY,3.0
BS2108,CLINICAL ACUPUNCTURE,3.0
BS2109,CM CLASSIC EMPEROR?S CANON OF INTERNAL MEDICINE,2.0
BS2110,MATERIAL MEDICA OF CHINESE MEDICINE,3.0
BS2111,CM CLINICAL TRAINING 2,1.0
BS3003,DEVELOPMENTAL BIOLOGY~,3.0
BS3004,CANCER BIOLOGY & THERAPY~,3.0
BS3014,BIOLOGICAL FOUNDATIONS OF BEHAVIOR,3.0
BS3018,PLANT BIOLOGY*~,3.0
BS3021,BIOIMAGING TECHNIQUES IN EM*~,3.0
BS3022,PROTEIN TRAFFICKING~,3.0
BS3027,LIGHT & BIOMOLECULE BEHAVIOR IN HEALTH & DISEASE*~,3.0
BS3038,INTELLECTUAL PROPERTY RIGHTS RELATED TO BIOBUSINESS~,3.0
BS3101,TREATISE ON EXOGENOUS FEBRILE DISEASES,6.0
BS3103,TCM INTERNSHIP II,3.0
BS3108,ACUPUNCTURE & MOXIBUSTION,6.0
BS3201,INTELLECTUAL PROPERTY RIGHTS REL TO BIOBUSINESS & THEIR APPN,5.0
BS3202,COMMERCIALIZATION OF MOLECULAR & CELL BIOLOGY TECHNIQUES~,3.0
BS3338,UAEB II - EFFECT OF ANTI-MITOTIC DRUGS ON CANCER CELLS~,3.0
BS3344,UAEB II - MACROMOLECULAR CRYSTALLOGRAPHY*~,3.0
BS4010,SYNTHETIC BIOLOGY~,3.0
BS4014,MOLECULAR BASIS OF DISEASES*~,3.0
BS4015,PLANT BIOTECHNOLOGY*~,3.0
BS4017,HIGH-THROUGHPUT BIOINFORMATICS~,3.0
BS5804,TRADITIONAL CHINESE MEDICINE: A PRIMER COURSE*~#,3.0
BT2403,SERVICES OPERATIONS MANAGEMENT*,4.0
BT2404,SERVICES OPERATIONS MANAGEMENT~,3.0
BU5101,ACCOUNTING: A USER PERSPECTIVE*~#,3.0
BU5201,BUSINESS FINANCE*~#,3.0
BU5401,MANAGEMENT DECISION TOOLS*~#,3.0
BU5501,MARKETING FOR THE 21ST CENTURY*~#,3.0
BU5544,MARKETING HEALTH: CONSUMERS' PURSUIT OF WELLNESS*~#,3.0
BU5546,LUXURY MARKETING*~#,3.0
BU5601,FUNDAMENTALS OF MANAGEMENT*~#,3.0
BU5603,NEGOTIATION: STRATEGY & PRACTICE~,3.0
BU5605,MANAGING ORGANIZATIONAL CHANGE~,3.0
BU5641,CULTURAL INTELLIGENCE: HOW TO BE AN EXPLORER OF THE WORLD*~#,3.0
BU5644,SMARTER BRAIN? THE SCIENCE OF DECISION MAKING*~#,3.0
BU5703,INTERNATIONAL BUSINESS ENVIRONMENT~,3.0
CB1102,"INTRO TO CHEMISTRY, CHEM ENG & BIOMED ENG",1.0
CB4248,ADVANCED SEMICONDUCTOR PROCESSES~,3.0
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,2.0
CC0002,NAVIGATING THE DIGITAL WORLD,2.0
CC0003,ETHICS & CIVICS IN A MULTICULTURAL WORLD,2.0
CC0005,HEALTHY LIVING & WELLBEING,3.0
CC0006,"SUSTAINABILITY: SOCIETY, ECONOMY & ENVIRONMENT",3.0
CC0007,SCIENCE & TECHNOLOGY FOR HUMANITY,3.0
CC0015,HEALTH & WELLBEING,2.0
CE1107,DATA STRUCTURES & ALGORITHMS*,3.0
CE3001,ADVANCED COMPUTER ARCHITECTURE*,3.0
CE3103,EMBEDDED PROGRAMMING*,3.0
CE4010,APPLIED CRYPTOGRAPHY*,3.0
CE4022,WIRELESS & MOBILE NETWORKS*,3.0
CE4031,DATABASE SYSTEM PRINCIPLES*,3.0
CE4041,MACHINE LEARNING*,3.0
CE4045,NATURAL LANGUAGE PROCESSING*,3.0
CE4070,CYBER THREAT INTELLIGENCE*,3.0
CE4153,BLOCKCHAIN TECHNOLOGY,3.0
CE5008,DECODE THE INDUSTRY: INSIGHTS & SKILLS FOR CAREER SUCCESS*,1.0
CH1801,CHEMICAL & BIOMOLECULAR ENGINEERING LABORATORY 1A,1.0
CH2108,THERMODYNAMICS,3.0
CH3104,BIOCHEMICAL ENGINEERING,3.0
CH3109,DECISION TOOLS FOR ENGINEERING BUSINESS,3.0
CH3111,PROCESS CONTROL & DYNAMICS*~,3.0
CH3121,"CHEMICAL, BIOLOGICAL & PLANT SAFETY",2.0
CH4102,PROJECT MANAGEMENT FOR ENGINEERS*~,3.0
CH4106,FORMULATION OF ACTIVE PHARMACEUTICAL INGREDIENTS DOSAGE FORM*~,3.0
CH4211,CNYSP OVERSEAS FINAL YEAR PROJECT,8.0
CH4223,PETROLEUM REFINING*~,3.0
CH4306,BIOANALYTICAL TECHNIQUES*~,3.0
CH4341,FUNDAMENTALS OF INTELLECTUAL PROPERTY IN CHEMICAL ENG*~,3.0
CH4702,INDEPENDENT RESEARCH PROJECT 1*~,3.0
CH4703,INDEPENDENT RESEARCH PROJECT 2*~,3.0
CH4801,FINAL YEAR DESIGN PROJECT,8.0
CH5201,FOOD CHEMISTRY*~,5.0
CH5203,FOOD PROCESS ENGINEERING*~,5.0
CH5221,FOOD INDUSTRY SEMINAR SERIES*~,3.0
CM1001,FOUNDATIONS OF CHEMISTRY I*~,4.0
CM2011,ANALYTICAL CHEMISTRY*~,3.0
CM2021,INORGANIC & BIOINORGANIC CHEMISTRY*~,3.0
CM2061,CHEMISTRY & BIOLOGICAL CHEMISTRY LABORATORY 1*~,3.0
CM3011,CHEMICAL SPECTROSCOPY & APPLICATIONS*~,3.0
CM3021,ORGANOMETALLIC CHEMISTRY*~,3.0
CM3031,ORGANIC REACTION MECHANISMS & SYNTHESIS*~,3.0
CM3041,PHYSICAL & BIOPHYSICAL CHEMISTRY 2*~,3.0
CM3062,CHEMISTRY & BIOLOGICAL CHEMISTRY LABORATORY 4,3.0
CM4012,STRUCTURAL DETERMINATION*~,3.0
CM4013,CURRENT TOPICS IN ANALYTICAL CHEMISTRY*~,3.0
CM4044,ARTIFICIAL INTELLIGENCE IN CHEMISTRY*~,3.0
CM4053,PHARMACEUTICAL CHEMISTRY*~,3.0
CM4062,POLYMER CHEMISTRY*~,3.0
CM4063,NANOSCIENCE & NANOTECHNOLOGY,3.0
CM5002,FORENSIC SCIENCE*~#,3.0
CM5013,SCENT CREATION: THE ART & SCIENCE OF PERFUMERY~,3.0
CM5022,APPLICATIONS OF FORENSIC SCIENCE*~#,1.0
CM5081,MEDICINAL CHEMISTRY*~,3.0
CS0102,MAKING SENSE OF BIG DATA,3.0
CS0201,FOUNDATIONS OF COMMUNICATION STUDIES*~,3.0
CS2008,FUNDAMENTALS OF RESEARCH*~,3.0
CS2021,NEWS REPORTING & WRITING*~,3.0
CS2024,WEB DESIGN & TECHNOLOGIES*~,3.0
CS2025,IMAGE & SOUND PRODUCTION*~,3.0
CS2026,MEDIA PRESENTATION & PERFORMANCE*~,3.0
CS2058,INTEGRATED MARKETING COMMUNICATION*~,3.0
CS2059,SOCIAL CONSEQUENCES OF MOBILE COMMUNICATION*~,3.0
CS2090,DIGITAL MEDIA ENTREPRENEURSHIP*~,3.0
CS2101,PUBLIC RELATIONS WRITING*~,3.0
CS2103,PUBLIC RELATIONS & COMMUNICATIONS MANAGEMENT*~,3.0
CS2190,CINEMA & THE ENVIRONMENT*~,3.0
CS2400,FOUNDATION OF INFORMATION ANALYTICS*~,3.0
CS2403,TELLING STORIES WITH DATA*~,3.0
CS4018,SPECIALISED JOURNALISM:BUSINESS & ECONOMICS*~,4.0
CS4024,WRITING FOR CINEMA & TV*~,4.0
CS4029,ADVERTISING CREATIVITY & COPYWRITING*~,4.0
CS4030,CRISIS MANAGEMENT*~,4.0
CS4037,AUDIENCE RESEARCH METHODS*~,4.0
CS4050,BAYESIAN DATA ANALYSIS & ITS APPLICATIONS*~,4.0
CS4068,ISSUES IN CINEMA STUDIES*~,4.0
CS4075,SELECTED TOPICS IN PR:EVALUATING & PRODUCING CAMPAIGN RESULT*~,4.0
CS4092,NEW MEDIA &  SOCIETY*~,4.0
CS4150,HEALTH COMMUNICATION*~,4.0
CS4196,IMPRESSION MANAGEMENT & SELF-PRESENTATION ONLINE*~,4.0
CS4199,CHILDREN & MEDIA*~,4.0
CS4265,GLOBAL FILM CULTURES: HOLLYWOOD & THE WEST*~,4.0
CS4267,EFFECTS OF VIRTUAL REALITY TECHNOLOGIES*~,4.0
CS4315,"SOCIAL MEDIA, SELF & SOCIETY*~",4.0
CS4319,TELLING THE STORY IN MULTIMEDIA*~,4.0
CS4321,"DIGITAL INCLUSION & DISABILITY:TECH, INCL. DES & SOC FUTURES*~",4.0
CS5081,INTRODUCTION TO KOREA STUDIES*~,3.0
CV0003,INTRODUCTION TO DATA SCIENCE & ARTIFICIAL INTELLIGENCE,3.0
CV1011,MECHANICS OF MATERIALS,4.0
CV1012,FLUID MECHANICS*~,3.0
CV1711,ENGINEERING DRAWING  & 3D BUILDING INFORMATION MODELLING,1.0
CV2011,STRUCTURAL ANALYSIS I,3.0
CV2013,ENGINEERING GEOLOGY & SOIL MECHANICS,3.0
CV2711,CIVIL ENGINEERING LABORATORY A,1.0
CV3011,REINFORCED CONCRETE DESIGN,3.0
CV3013,FOUNDATION ENGINEERING,3.0
CV3014,TRANSPORTATION ENGINEERING,3.0
CV3017,URBAN WATER CIRCULARITY,2.0
CV4012,PROJECT PLANNING & MANAGEMENT,2.0
CV4101,STRUCTURAL ANALYSIS III*~,3.0
CV4107,SUSTAINABLE PROJECT ECONOMICS & FINANCE*~#,3.0
CV4110,EXCAVATION & RETAINING WALLS*~,3.0
CV4113,HIGHWAY ENGINEERING*~,3.0
CV4121,INLAND & COASTAL FLOOD MANAGEMENT*~,3.0
CV4711,SEMINARS ON BUILT ENVIRONMENT,1.0
CY0001,WRITING ACROSS THE DISCIPLINES,3.0
CY1308,PHYSICS,3.0
CY1500,INTRODUCTION TO RESEARCH,2.0
CY1601,MATHEMATICS I,4.0
CZ1107,DATA STRUCTURES & ALGORITHMS*,3.0
CZ2004,HUMAN COMPUTER INTERACTION*,3.0
CZ2006,SOFTWARE ENGINEERING*,3.0
CZ2007,INTRODUCTION TO DATABASES*,3.0
CZ2101,ALGORITHM DESIGN & ANALYSIS*,3.0
CZ3001,ADVANCED COMPUTER ARCHITECTURE*,3.0
CZ3002,ADVANCED SOFTWARE ENGINEERING*,3.0
CZ4010,APPLIED CRYPTOGRAPHY*,3.0
CZ4022,WIRELESS & MOBILE NETWORKS*,3.0
CZ4031,DATABASE SYSTEM PRINCIPLES*,3.0
CZ4041,MACHINE LEARNING*,3.0
CZ4045,NATURAL LANGUAGE PROCESSING*,3.0
CZ4070,CYBER THREAT INTELLIGENCE*,3.0
CZ4153,BLOCKCHAIN TECHNOLOGY,3.0
CZ5008,DECODE THE INDUSTRY: INSIGHTS & SKILLS FOR CAREER SUCCESS*,1.0
DA5007,DRAWING FOR ANIMATION*~,3.0
DD0003,INFORMATION VISUALIZATION,3.0
DD1003,INTRODUCTION TO THE HISTORIES OF ART I: WESTERN ART HISTORY*~,3.0
DD3016,HISTORY OF DESIGN*~,3.0
DD4005,MEDIA ART INTERDISCIPLINARY SEMINAR,3.0
DD4006,DESIGN ART INTERDISCIPLINARY SEMINAR,3.0
DF2003,CINEMATOGRAPHY  I*~,3.0
DF3012,FILM DIRECTING*~,3.0
DF5001,DOCUMENTARY FILMMAKING*~,3.0
DM2009,PERFORMANCE & INTERACTION*~#,3.0
DM2011,ISSUES IN INTERACTIVE MEDIA PRACTICE*~,3.0
DM3013,INTERACTIVE SPACES*~,3.0
DM3014,INTERACTIVE DEVICES*~,3.0
DM5000,CREATIVE ROBOTICS*~,3.0
DM5001,WEB DESIGN*~#,3.0
DP2001,DIGITAL PHOTOGRAPHY*~,3.0
DP2002,HISTORY OF PHOTOGRAPHY*~,3.0
DP2006,PRINCIPLES OF LIGHTING*~,3.0
DP2008,EXPERIMENTAL PHOTOGRAPHY*~,3.0
DP3000,PHOTOGRAPHIC MEDIA & PRESENTATION*~,3.0
DP3010,MOVING IMAGE FOR MEDIA ARTISTS*~,3.0
DP5000,BLACK & WHITE FILM PHOTOGRAPHY*~,3.0
DR2001,PRODUCT DESIGN I*~,3.0
DR2002,EMERGING PRODUCT DESIGN PRACTICES*~,3.0
DR2005,COMPUTER AIDED DESIGN WORKSHOP I*~,3.0
DR2014,BODY-CENTRIC DESIGN*~,3.0
DR3006,PRODUCT DESIGN III,3.0
DR3007,STUDIES IN FORM,3.0
DR5003,INTRODUCTION TO DESIGN*~,3.0
DT2000,BASIC PRINCIPLES OF MOTION*~,3.0
DT2007,"HISTORY & CULTURE OF ANIMATION, VFX & GAME*~",3.0
DT2011,STOP MOTION PRINCIPLES*~,3.0
DT2017,WRITING FOR ANIMATION*~,3.0
DT2018,ANIMATION FOR GAMES I*~,3.0
DT2020,GAME DESIGN I*~,3.0
DT2021,GAME ASSETS DESIGN*~,3.0
DT3009,CINEMATIC CONCEPTS & MOTION CAPTURE APPLICATIONS*~,3.0
DT3013,ANIMATION SEMINAR,3.0
DV2000,TYPOGRAPHY I*~,3.0
DV2002,ILLUSTRATION FOR DESIGNERS*~,3.0
DV2008,INTERFACE DESIGN*~,3.0
DV3003,SPATIAL DESIGN*~,3.0
DV3011,TYPOGRAPHY III,3.0
DV5001,DESIGN IN MOTION*~,3.0
EE1102,PHYSICS FOUNDATION FOR ELECTRICAL & ELECTRONIC ENGINEERING,3.0
EE2005,ELECTRICAL DEVICES & MACHINES,3.0
EE2073,INTRODUCTION TO EEE DESIGN & PROJECT,2.0
EE3013,SEMICONDUCTOR DEVICES & PROCESSING*~,3.0
EE3018,INTRODUCTION TO PHOTONICS TECHNOLOGIES*~,3.0
EE3101,ENGINEERING ELECTROMAGNETICS,3.0
EE4227,CONTROL ENGINEERING DESIGN*~,3.0
EE4268,ROBOTICS & AUTOMATION*~,3.0
EE4323,MIXED-SIGNAL IC DESIGN*~,3.0
EE4523,POWER ENGINEERING DESIGN*~,3.0
EE4532,POWER ELECTRONICS & DRIVES*~,3.0
EE4623,CMOS PROCESS & DEVICE SIMULATION*~,3.0
EE4647,MICROELECTRONIC DEVICES*~,3.0
EE4903,PHYSIOLOGICAL SYSTEMS ANALYSIS*~,3.0
EE5081,INNOVATION & TECHNOLOGY MANAGEMENT*~#,3.0
EE5094,IMPACT OF ELECTROMAGNETIC RADIATION ON HUMANS*~#,3.0
EE6225,MULTIVARIABLE CONTROL SYSTEMS ANALYSIS & DESIGN*~,3.0
EE6311,INTEGRATED NANOPHOTONIC DEVICES,3.0
EE6405,NATURAL LANGUAGE PROCESSING*~,3.0
EE6601,ADVANCED WAFER PROCESSING*~,3.0
EE7913,SATELLITE TECHNOLOGY & SPACE MISSION DESIGN*~,3.0
EG1001,ENGINEERS IN SOCIETY,2.0
EG2810,MATHEMATICS A,4.0
EM5109,ENVIRONMENTAL ISSUES & SUSTAINABILITY*~,3.0
EN1001,ENVIRONMENTAL CHEMISTRY,3.0
EN2004,GEO-ENVIRONMENT & SOIL MECHANICS,3.0
EN3001,SOLID & HAZARDOUS WASTE MANAGEMENT,3.0
EN3006,ENERGY RESOURCES ENGINEERING,3.0
EN4001,ENVIRONMENTAL IMPACT ASSESSMENT & MONITORING,3.0
EN4104,ENVIRONMENTAL HYDRAULICS*~,3.0
EN4711,SEMINARS ON BUILT ENVIRONMENT,1.0
ES0138,INTRODUCTION TO SCIENTIFIC WRITING,2.0
ES1001,E2S2: ENVIRONMENT & SOCIETY*~#,4.0
ES2001,COMPUTATIONAL EARTH SYSTEMS SCIENCE*~,4.0
ES2802,GIS & THE EARTH SYSTEM,3.0
ES3003,INTRODUCTION TO GEOCHEMISTRY*~,3.0
ES3006,SPACE GEODESY~,3.0
ES3202,RESILIENT URBAN SYSTEMS*~,3.0
ES3203,THE GENOME & SOCIETY*~,3.0
ES3306,GLOBAL CHANGE ECOLOGY*~,3.0
ES3307,EXPERIMENTAL DESIGN & ANALYSIS FOR ECOLOGY*~,4.0
ES4301,CONSERVATION BIOLOGY & BIODIVERSITY*~,3.0
ES4303,MARINE & AQUATIC ECOLOGY*~,3.0
ES4304,EYES ON EARTH - SATELLITE REMOTE SENSING~,3.0
ES4906,ENVIRONMENTAL HYDROLOGY~,3.0
ES5001,NATURAL HAZARDS & SOCIETY*~#,3.0
ES5002,EMERGENT LIFE*~,3.0
ES5003,BLUE PLANET: HOW THE OCEAN WORKS*~,3.0
ES5005,ENVIRONMENTAL EARTH SYSTEMS SCIENCE*~#,3.0
ES5008,BIODIVERSITY & NATURAL HISTORY OF SINGAPORE~,3.0
ES5100,SUSTAINABILITY CAPSTONE PROJECT~,3.0
ET5101,DEEP DIVE INTO ENTREPRENEURSHIP*~#,3.0
ET5122,E-STARTUPS & SOCIAL MEDIA STRATEGIES*~,3.0
ET5131,VENTURING INTO ENTREPRENEURSHIP*~,3.0
ET5132,NEW VENTURE FINANCING*~,3.0
ET5135,BUSINESS VENTURE IMPLEMENTATION*~,3.0
ET5211,ENTREPRENEURIAL MINDSET & TECHNOLOGY INNOVATION~,3.0
ET5212,ENTREPRENEURIAL ECOSYSTEM*~,3.0
ET5216,VENTURE CAPITAL INVESTMENT & PRACTICES*~,4.0
ET5218,INNOVATION & COMMERCIALIZATION OF TECHNOLOGIES*~,3.0
FE1073,AN INTRODUCTION TO ENGINEERING & PRACTICES,1.0
FL5001,INTRODUCTION TO FILM STUDIES*~,3.0
HA1001,INTRODUCTION TO INTERNATIONAL RELATIONS & FOREIGN POLICY*~,3.0
HA1002,INTRODUCTION TO POLITICAL THEORY*~,3.0
HA1012,FUNDAMENTALS OF POLITICS*~,3.0
HA2003,POLITICS & GOVERNMENT IN SOUTHEAST ASIA*~,3.0
HA2004,THEORIES IN INTERNATIONAL RELATIONS*~,3.0
HA2014,PUBLIC ORGANIZATION THEORY*~,3.0
